"nursery","date","species","batch_id","batch_id2","volume","calliper300","rcd","height_m","sizeindex","logSI","logvol","logH","logD","logRCD","climate_region"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.06,18.46,1.469,19.18514,1.28296497272931,1.47712125471966,0.167021795790257,1.11594317693906,1.26623169668989,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.79,18.16,1.752,24.16008,1.38309836800791,1.47712125471966,0.243534101832062,1.13956426617585,1.25911584418507,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,13.34,18.615,1.538,20.51692,1.31211216504594,1.47712125471966,0.186956335465412,1.12515582958053,1.26986304055441,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.75,18.28,1.473,18.78075,1.27371293161261,1.47712125471966,0.168202746842631,1.10551018476997,1.26197619139781,"Northern Territory"
"dph","2016-08-10","syzygium_australe_bigred","sa_75","sa_75-syzygium_australe_bigred",30,12.01,17.05,1.279,15.36079,1.18641355188156,1.47712125471966,0.106870544478654,1.07954300740291,1.23172438332852,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,35.295,45.985,2.824,99.67308,1.99857787861147,1.30102999566398,0.450864692379766,1.5477131862317,1.66261619082086,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,29.195,34.49,3.206,93.59917,1.97127199760543,1.30102999566398,0.505963518018126,1.46530847958731,1.53769319436739,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,31.33,26.115,2.029,63.56857,1.80324244191505,1.30102999566398,0.307282047033346,1.49596039488171,1.41689003017301,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,38.39,49.115,2.134,81.92426,1.91341252720586,1.30102999566398,0.329194415088451,1.58421811211741,1.69121414838279,"Northern Territory"
"dph","2016-08-10","syzygium_cunninghamiana","sc_72","sc_72-syzygium_cunninghamiana",20,37.565,41.885,1.545,58.037925,1.76371187693663,1.30102999566398,0.188928483760853,1.57478339317578,1.62205851977842,"Northern Territory"
