"species","nursery","volume","sla_tree.mean","sla_tree.se","climate_region","genus_species","variety","origin","leaf_type"
"brachychiton_rupestris","logans",1000,102.739110595032,5.19942306206123,"Queensland","brachychiton_rupestris",NA,"native","deciduous"
"buchanania_arborescens","darwin plant wholesalers",100,76.9555865154411,2.40235125082762,"Northern Territory","buchanania_arborescens",NA,"native","evergreen"
"buchanania_arborescens","darwin plant wholesalers",20,88.263069794764,2.90480197352246,"Northern Territory","buchanania_arborescens",NA,"native","evergreen"
"callistemon_kingsparkspecial","arborwest",35,55.8756415969651,3.53574117970185,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","arborwest",100,35.6699091843829,1.21548137531639,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","ellenby tree farm",150,33.7002683016535,1.07470921857042,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","ellenby tree farm",300,31.1775794890868,0.603558735266346,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","ellenby tree farm",75,45.3523269852027,9.60423591185656,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","freshford",20,41.5905243701215,1.2185981004971,"South Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","adelaide advanced",18,55.8830945304894,16.1842084815591,"South Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","adelaide advanced",27,56.9200843176342,2.57177141516007,"South Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","benara",90,45.194406947828,2.48569835230319,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","ellenby tree farm",35,21.1543700583329,0.959974137089173,"Western Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
"callistemon_kingsparkspecial","freshford",40,34.1425872116059,1.09998830016757,"South Australia","callistemon_kingsparkspecial",NA,"native","evergreen"
