nursery,species,date,site,batch_id2,volume,calliper300,rcd,height_m,sizeindex,logSI,logvol,logH,logD,logRCD,colorspec
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,56.42,63.58,4.165,234.9893,2.371048088,2.301029996,0.619615006,1.751433082,1.803320524,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,47.73,73.215,3.601,171.87573,2.235214556,2.301029996,0.556423121,1.678791434,1.864600067,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,60.11,67.51,4.508,270.97588,2.432930635,2.301029996,0.653983907,1.778946728,1.829368108,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,54.1,65.2,3.85,208.285,2.318657995,2.301029996,0.58546073,1.733197265,1.814247596,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,74.51,79.53,4.374,325.90674,2.513093342,2.301029996,0.640878779,1.872214563,1.900530982,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,52.935,65.22,4.375,231.590625,2.364720975,2.301029996,0.640978057,1.723742917,1.814380794,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,004-A-073-angophora_costata,200,51.25,67.285,4.405,225.75625,2.353639782,2.301029996,0.643945913,1.70969387,1.827918257,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,27.03,33.4,2.919,78.90057,1.897080141,2,0.465234095,1.431846046,1.523746467,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,28.61,38.73,3.25,92.9825,1.968401219,2,0.511883361,1.456517858,1.588047497,#7FC97F
andr,angophora_costata,23/05/2016,Kemps Creek,007-A-072-angophora_costata,100,31.565,40.9,2.894,91.34911,1.96070432,2,0.461498527,1.499205794,1.611723308,#7FC97F
