date,species,batch_id,volume,grade,tree,height,diameter1,diameter2,rootmax,rootmin
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,5,109.5,14.18,13.25,43,18
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,6,119.1,13.1,11.81,24,14
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,7,120,10.81,11.12,22,21
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,8,130,14.67,15.04,55,40
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,9,130.7,14.13,13.92,46,25
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,regular,10,120.1,13.8,15.36,27,17.5
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,11,147,17.15,17.59,67,48
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,12,153,17.68,18.49,62,29
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,13,150.1,14.71,15.88,35,24
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,14,147.4,13.52,15.82,42,25
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,15,139.5,14.64,15.33,53,34.5
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,16,141.9,16.03,15.48,35,32.5
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,17,146.2,17.17,17.6,60,41
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,18,151.1,15.33,17,39,33
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,19,147.1,16.12,15.68,45,17
27/06/2016,pyrus_calleryana_chanticleer,pcc_br,bareroot,advanced,20,144,15.87,14.42,45,38.5
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,1,139.7,15.46,15.37,55,30
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,2,144.1,16.02,15.85,83,38
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,3,133.3,14.71,14.73,62,35
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,4,149.1,13.93,13.96,61,42
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,5,117.2,16.72,16.74,57,46
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,6,145,14.76,14.97,66,60
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,7,165.9,16.34,16.32,111,34
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,8,146.1,14.11,14.37,62,8
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,9,157.4,16.39,16.18,52,42
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,regular,10,143.8,15.49,15.73,70,57
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,11,177.8,17.8,17.66,80,42
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,12,196.8,20.96,20.22,92,39
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,13,162.2,17.54,18.45,61,23
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,14,189.4,17.97,18.23,110,52.5
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,15,164,17.3,17.27,86.5,36
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,16,185.9,18.92,19.14,100,38.5
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,17,176,16.03,16.53,46,19
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,18,189.1,19.19,18.87,130,50
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,19,186.3,17.44,17.86,90.5,38.5
27/06/2016,acer_rubrum_bowhall,arb_br,bareroot,advanced,20,186.6,18.61,18.44,74,43
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,1,152.3,12.29,12.11,56.5,41.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,2,151.6,12.5,12.7,54.5,41
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,3,153.9,12.94,12.16,52,25
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,4,150.9,12.89,12.86,32,26.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,5,164.4,16.71,14.86,48.5,35
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,6,158.5,14.6,14.87,35.5,29.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,7,152.1,12.21,15.56,54,39.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,8,155,12.4,13.26,32.5,20.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,9,158.5,13.34,13.44,58,34
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,regular,10,144.1,12.02,12.63,52.5,42.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,11,203.5,19.29,20.27,71,57.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,12,203.1,20.7,19.82,48,25
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,13,177.3,17.38,16.84,59,38
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,14,193.1,16.5,17.4,60,43
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,15,184.9,16.81,17.39,53,28
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,16,179.9,14.51,14.89,55,39
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,17,186.5,16.08,16.06,62,62
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,18,205.6,17.14,17.42,78,51
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,19,171.8,16.46,15.28,46,38.5
27/06/2016,fraxinus_pennsylvanica_cimmaron,fpc_br,bareroot,advanced,20,220.5,19.53,19.86,102,55
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,1,161,13.71,13.5,44,19
27/06/2016,platanus_x_acerifolia_liberty,pal_br,bareroot,regular,2,187.2,17.43,17.15,58,49
