nursery,date,species,batch_id,volume,tree,height,diameter1,diameter2,rcd1,rcd2
adelaidetreefarm,4/11/2016,lagerstroemia_indica_sioux,LIS_14,14,45,182.8,16.12,16.62,24.29,22.65
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,1,218.6,22.02,22.52,34.24,36.41
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,2,228.2,23.22,23.26,29.36,29.53
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,3,175.7,20,19.98,29.51,30.19
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,4,244.2,21.37,22.76,32.13,33.54
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,5,201.5,19.68,19.94,27.95,29.26
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,6,216.1,20.35,20.53,28.23,28.67
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,7,219,22.03,22.13,28.9,29.45
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,8,230.6,21.27,20.39,31.29,32.21
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,9,221.1,24.03,24.81,29.01,29.06
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,10,221.3,24.29,24.81,30.6,31.17
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,11,191,26.58,26.46,31.81,31.18
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,12,221.4,25.36,25.13,29.73,30.54
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,13,184.3,22.58,22.8,23.69,24.97
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,14,252.9,24.4,24.47,26.18,26.16
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,15,180.3,25.32,26.13,35.22,35.91
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,16,196.2,30.29,28.81,33.74,30.05
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,17,239.8,23.98,23.2,27.28,27.49
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,18,195.7,20.75,21.11,30.74,31.58
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,19,191.6,22.81,23.17,32,31.89
adelaidetreefarm,4/11/2016,lagerstroemia_indica_tuscarora,LIT_45,45,20,183.9,17.87,18.08,27.52,28.77
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,1,143.4,12.08,12.12,23.05,23.06
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,2,149.3,15.63,14.55,22.18,21.99
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,3,145,19.42,19.29,21.32,22.29
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,4,132.4,14.03,14.22,22.32,22.41
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,5,128.9,18.31,18.55,25.18,23.93
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,6,144.7,17.02,17.14,22.25,22.52
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,7,140.3,13.04,12.98,23.28,25.36
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,8,155.2,17.96,18.04,21.62,22.05
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,9,129.2,17,16.98,22.23,20.62
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,10,129.1,18.23,19,26.59,26.3
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,11,135.5,16.57,16.71,20.56,22.39
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,12,154.6,16.42,15.89,21.95,21.32
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,13,164,16.26,16.11,23.2,24.82
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,14,144.5,14.15,13.97,26.41,25.52
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,15,162.1,14.21,14.09,23.33,24.33
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,16,153.2,18.27,17.97,22.44,22.43
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,17,119.3,15.37,15.93,20.37,20.73
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,18,145,14.96,15.15,22.24,23.18
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,19,150.1,18,17.92,23.44,23.05
adelaidetreefarm,4/11/2016,lagerstroemia_indica_zuni,LIZ_14,14,20,140.1,13.41,13.96,19.89,19.62
