Species,foliage_type,exp_length,PotVol,above_mass,root_mass,total_mass,root2shoot,masspervolume,,
Magnolia_grandiflora,angiosperm,53,27.000,575.000,373.000,948.000,0.65,35.1,,
Magnolia_grandiflora,angiosperm,53,57.000,841.000,445.000,1286.000,0.53,22.6,,
Picea_glauca,gymnosperm,,0.045,1.751,1.907,3.658,1.09,81.3,,
Picea_glauca,gymnosperm,,0.057,4.562,3.295,7.857,0.72,137.8,,
Picea_glauca,gymnosperm,,0.065,5.293,4.030,9.322,0.76,143.4,,
Picea_glauca,gymnosperm,,0.102,5.709,5.776,11.485,1.01,112.6,,
Picea_glauca,gymnosperm,,0.120,3.632,3.634,7.265,1.00,60.5,,
Abies_fraseri,gymnosperm,150,0.172,1.300,0.900,2.200,0.69,12.8,,
Abies_fraseri,gymnosperm,150,1.000,2.800,2.000,4.800,0.71,4.8,,
Photinia_x_fraseri,angiosperm,510,0.900,52.600,,,,,,
Photinia_x_fraseri,angiosperm,510,2.900,115.500,,,,,,
Photinia_x_fraseri,angiosperm,510,10.200,127.700,,,,,,
Pinus_elliottii,gymnosperm,620,0.900,38.400,,,,,,
Pinus_elliottii,gymnosperm,620,2.900,110.300,,,,,,
Pinus_elliottii,gymnosperm,620,10.200,328.300,,,,,,
Passiflora_spec,angiosperm,196,0.300,27.034,3.641,30.675,0.13,102.2,,
Passiflora_spec,angiosperm,196,1.400,46.534,6.845,53.378,0.15,38.1,,
Passiflora_spec,angiosperm,196,4.000,100.120,11.227,111.347,0.11,27.8,,
Passiflora_spec,angiosperm,196,12.000,115.591,13.267,128.857,0.11,10.7,,
Passiflora_spec,angiosperm,196,24.000,226.511,21.503,248.014,0.09,10.3,,
Prunus_persica,angiosperm,1241,5.000,587.960,304.117,1689.540,0.52,337.9,,
Prunus_persica,angiosperm,1241,10.000,841.764,581.482,2768.960,0.69,276.9,,
Prunus_persica,angiosperm,1241,20.000,1086.803,582.216,3881.440,0.54,194.1,,
Prunus_persica,angiosperm,1241,40.000,1537.772,1508.628,6857.400,0.98,171.4,,
Prunus_persica,angiosperm,1241,80.000,2227.175,1960.110,9800.550,0.88,122.5,,
Prunus_persica,angiosperm,91,2.400,126.000,28.000,154.000,0.22,64.2,,
Prunus_persica,angiosperm,91,9.000,154.000,55.000,209.000,0.36,23.2,,
Syzgium_samarangense,angiosperm,670,40.000,3377.080,1021.357,4398.437,0.30,110.0,,
Syzgium_samarangense,angiosperm,670,90.000,6506.877,2033.423,8540.300,0.31,94.9,,
Syzgium_samarangense,angiosperm,670,200.000,8343.913,2961.930,11305.843,0.35,56.5,,
Syzgium_samarangense,angiosperm,670,730.000,11832.933,4345.407,16178.340,0.37,22.2,,
Syzgium_samarangense,angiosperm,670,1700.000,22428.667,7168.057,29596.723,0.32,17.4,,
Betula_populifolia,angiosperm,84,0.300,1.440,1.159,2.599,0.81,8.7,,
Betula_populifolia,angiosperm,84,0.700,3.463,2.853,6.315,0.82,9.0,,
Betula_populifolia,angiosperm,84,1.200,7.275,5.025,12.299,0.69,10.2,,
Betula_populifolia,angiosperm,84,3.000,17.531,10.946,28.477,0.62,9.5,,
Acer_rubrum,angiosperm,84,0.300,2.655,1.393,4.048,0.52,13.5,,
Acer_rubrum,angiosperm,84,0.700,4.783,2.726,7.509,0.57,10.7,,
Acer_rubrum,angiosperm,84,1.200,7.431,4.007,11.437,0.54,9.5,,
Acer_rubrum,angiosperm,84,3.000,14.837,5.362,20.199,0.36,6.7,,
Betula_alleghiensis,angiosperm,84,0.300,1.431,0.872,2.303,0.61,7.7,,
Betula_alleghiensis,angiosperm,84,0.700,3.679,1.916,5.595,0.52,8.0,,
Betula_alleghiensis,angiosperm,84,1.200,6.772,3.350,10.123,0.49,8.4,,
Betula_alleghiensis,angiosperm,84,3.000,13.226,6.492,19.718,0.49,6.6,,
Pinus_taeda,gymnosperm,121,0.600,110.554,47.143,157.697,0.43,262.8,,
Pinus_taeda,gymnosperm,121,3.800,117.532,55.714,173.247,0.47,45.6,,
Pinus_taeda,gymnosperm,121,18.900,134.734,92.857,227.591,0.69,12.0,,
Salix_planifolia,angiosperm,70,0.110,0.944,0.378,1.322,0.40,12.0,,
Salix_planifolia,angiosperm,70,0.200,1.208,0.460,1.668,0.38,8.3,,
Betula_pendula,angiosperm,540,5.000,138.630,89.333,227.963,0.64,45.6,,
Betula_pendula,angiosperm,540,25.000,233.470,148.290,381.760,0.64,15.3,,
Hydrangea_macrophylla,angiosperm,82,0.140,1.690,0.650,2.340,0.38,16.7,,
Hydrangea_macrophylla,angiosperm,82,0.150,1.580,0.720,2.300,0.46,15.3,,
Hydrangea_macrophylla,angiosperm,82,0.260,2.710,1.510,4.220,0.56,16.2,,
Hydrangea_macrophylla,angiosperm,82,0.320,2.530,2.080,4.610,0.82,14.4,,
Ficus_benjamini,angiosperm,480,11.000,89.000,89.000,178.000,1.00,16.2,,
Ficus_benjamini,angiosperm,480,54.000,327.000,275.000,602.000,0.84,11.1,,
Coffea_arabica,angiosperm,165,3.000,41.400,18.560,59.960,0.45,20.0,,
Coffea_arabica,angiosperm,165,10.000,93.100,30.980,124.080,0.33,12.4,,
Coffea_arabica,angiosperm,165,24.000,120.200,31.020,151.220,0.26,6.3,,
Coffea_arabica,angiosperm,183,2.000,3.340,1.890,5.230,0.57,2.6,,
Coffea_arabica,angiosperm,183,3.500,3.490,2.170,5.660,0.62,1.6,,
Coffea_arabica,angiosperm,183,6.000,6.650,5.930,12.580,0.89,2.1,,
Quercus_suber,angiosperm,305,0.353,3.830,7.470,11.300,1.95,32.0,,
Quercus_suber,angiosperm,305,0.589,5.310,11.890,17.200,2.24,29.2,,
Pinus_canariensis,gymnosperm,115,0.200,0.324,0.083,0.407,0.25,2.0,,
Pinus_canariensis,gymnosperm,115,7.000,0.517,0.246,0.763,0.48,0.1,,
Pinus_canariensis,gymnosperm,115,0.200,0.391,0.090,0.481,0.23,2.4,,
Pinus_canariensis,gymnosperm,115,7.000,0.405,0.162,0.567,0.40,0.1,,
Pinus_brutia,gymnosperm,425,0.200,1.170,1.343,2.510,1.15,12.6,,
Pinus_brutia,gymnosperm,425,0.500,1.717,1.883,3.600,1.10,7.2,,
Pinus_brutia,gymnosperm,425,1.000,3.810,4.830,8.640,1.27,8.6,,
Pinus_brutia,gymnosperm,425,2.800,10.770,9.610,20.360,0.89,7.3,,
Pinus_brutia,gymnosperm,425,7.000,13.300,8.830,22.130,0.66,3.2,,
Pinus_canariensis,gymnosperm,425,0.200,3.406,1.794,5.200,0.53,26.0,,
Pinus_canariensis,gymnosperm,425,0.500,5.251,3.429,8.680,0.65,17.4,,
Pinus_canariensis,gymnosperm,425,1.000,9.670,5.646,15.300,0.58,15.3,,
Pinus_canariensis,gymnosperm,425,2.800,19.914,10.536,30.450,0.53,10.9,,
Pinus_canariensis,gymnosperm,425,7.000,27.940,13.270,41.210,0.47,5.9,,
Pinus_halepensis,gymnosperm,425,0.200,1.676,1.744,3.420,1.04,17.1,,
Pinus_halepensis,gymnosperm,425,0.500,2.505,2.500,5.000,1.00,10.0,,
Pinus_halepensis,gymnosperm,425,1.000,4.308,4.592,8.900,1.07,8.9,,
Pinus_halepensis,gymnosperm,425,2.800,12.836,9.684,22.520,0.75,8.0,,
Pinus_halepensis,gymnosperm,425,7.000,20.211,12.759,32.970,0.63,4.7,,
Pinus_nigra,gymnosperm,425,0.200,1.081,1.279,2.360,1.18,11.8,,
Pinus_nigra,gymnosperm,425,0.500,1.798,1.972,3.770,1.10,7.5,,
Pinus_nigra,gymnosperm,425,1.000,3.994,3.724,7.710,0.93,7.7,,
Pinus_nigra,gymnosperm,425,2.800,7.083,6.697,13.780,0.95,4.9,,
Pinus_nigra,gymnosperm,425,7.000,10.043,8.217,18.260,0.82,2.6,,
Pinus_pinaster,gymnosperm,425,0.200,2.398,1.596,3.990,0.67,20.0,,
Pinus_pinaster,gymnosperm,425,0.500,4.888,2.830,7.710,0.58,15.4,,
Pinus_pinaster,gymnosperm,425,1.000,9.565,5.530,15.110,0.58,15.1,,
Pinus_pinaster,gymnosperm,425,2.800,22.746,11.254,34.000,0.49,12.1,,
Pinus_pinaster,gymnosperm,425,7.000,34.298,15.772,50.070,0.46,7.2,,
Pinus_pinea,gymnosperm,425,0.200,4.116,1.884,6.000,0.46,30.0,,
Pinus_pinea,gymnosperm,425,0.500,8.136,3.554,11.690,0.44,23.4,,
Pinus_pinea,gymnosperm,425,1.000,15.247,6.503,21.750,0.43,21.8,,
Pinus_pinea,gymnosperm,425,2.800,28.062,11.478,39.580,0.41,14.1,,
Pinus_pinea,gymnosperm,425,7.000,37.320,14.318,51.690,0.38,7.4,,
Pinus_radiata,gymnosperm,425,0.200,3.487,2.433,5.920,0.70,29.6,,
Pinus_radiata,gymnosperm,425,0.500,7.997,5.443,13.440,0.68,26.9,,
Pinus_radiata,gymnosperm,425,1.000,14.206,10.414,24.620,0.73,24.6,,
Pinus_radiata,gymnosperm,425,2.800,25.336,14.314,39.650,0.56,14.2,,
Pinus_radiata,gymnosperm,425,7.000,41.684,18.466,60.150,0.44,8.6,,
Pinus_sylvestris,gymnosperm,425,0.200,1.202,1.328,2.530,1.11,12.7,,
Pinus_sylvestris,gymnosperm,425,0.500,2.410,2.390,4.800,0.99,9.6,,
Pinus_sylvestris,gymnosperm,425,1.000,3.781,3.919,7.700,1.04,7.7,,
Pinus_sylvestris,gymnosperm,425,2.800,8.171,6.659,14.830,0.81,5.3,,
Pinus_sylvestris,gymnosperm,425,7.000,9.813,5.888,15.700,0.60,2.2,,
Pinus_uncinata,gymnosperm,425,0.200,0.613,0.467,1.080,0.76,5.4,,
Pinus_uncinata,gymnosperm,425,0.500,0.671,0.398,1.070,0.59,2.1,,
Pinus_uncinata,gymnosperm,425,1.000,1.305,1.375,2.680,1.05,2.7,,
Pinus_uncinata,gymnosperm,425,2.800,1.828,1.582,3.410,0.87,1.2,,
Pinus_uncinata,gymnosperm,425,7.000,2.824,2.416,5.240,0.86,0.7,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
