species,variety,container_l,onhand,date_ready,height,caliper_30cm,type,origin,growth_rate
Ginkgo_biloba,,400,ngia2,,4.2,88,deciduous,non-native,moderate
Gleditsia_triacanthos,Continental,37,test,,2,20,deciduous,non-native,moderate
Gleditsia_triacanthos,Continental,45,25,1/01/2015,2.1,21.11,deciduous,non-native,moderate
Gleditsia_triacanthos,Continental,45,1,1/02/2014,2.07,24.36,deciduous,non-native,moderate
Gleditsia_triacanthos,Continental,45,test,,2,22.5,deciduous,non-native,moderate
Gleditsia_triacanthos,Elegantissima,37,test,,1.8,20,deciduous,non-native,slow
Gleditsia_triacanthos,Elegantissima,45,38,1/02/2014,1.67,21.26,deciduous,non-native,slow
Gleditsia_triacanthos,Elegantissima,45,test,,1.9,17.5,deciduous,non-native,slow
Gleditsia_triacanthos,Sunburst,37,test,,2.6,17,deciduous,non-native,moderate
Gleditsia_triacanthos,Sunburst,45,46,1/02/2014,2.77,22.93,deciduous,non-native,moderate
Koelreuteria_paniculata,Golcanzam-Golden_Candle,45,46,1/01/2015,2.07,28.33,deciduous,non-native,moderate
Koelreuteria_paniculata,Golden_Rain,45,5,1/02/2014,2.66,36.74,deciduous,non-native,moderate
Koelreuteria_paniculata,Golden_Rain,45,5,1/04/2014,2.8,39.4,deciduous,non-native,moderate
Lagerstroemia_fauriei,Fantasy,45,15,1/02/2014,2.67,39.33,deciduous,non-native,moderate
Lagerstroemia_fauriei,Kiowa,45,28,1/12/2014,2.1,32.8,deciduous,non-native,moderate
Lagerstroemia_fauriei ,Townhouse,400,,,2.75,74.39,deciduous,non-native,moderate
Lagerstroemia_indica_x_fauriei,Biloxi,45,ngia2,,2.7,31,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Lipan,45,46,1/12/2014,2.6,32.8,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,35,test,,2,22.5,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,37,test,,2.2,20,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,37,test,,2.2,15,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,45,65,1/12/2014,2.63,28.28,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,45,ngia2,,1.7,20,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Natchez,52,test,,2.25,30,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Sioux,37,test,,1.8,2,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Sioux,45,ngia2,,1.6,23,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Sioux,75,8,1/04/2014,2.6,36.55,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Tuscarora,45,54,1/02/2014,2.6,33.5,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Tuscarora,45,13,1/01/2014,2.6,31.2,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Tuscarora,45,45,1/01/2015,2.7,33.93,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Tuscarora,75,60,1/01/2015,3.06,34.53,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Tuscarora,75,45,15/03/2014,2.68,44.39,deciduous,non-native,fast
Lagerstroemia_indica_x_fauriei,Zuni,45,ngia2,,1.3,18,deciduous,non-native,fast
Liquidambar_styraciflua,Clydesform-Emerald_Sentinel,45,13,1/12/2014,1.6,31.1,deciduous,non-native,slow
Liquidambar_styraciflua,Goduzam-Gold_Dust,45,25,1/01/2015,1.9,27,deciduous,non-native,moderate
Liquidambar_styraciflua,Goduzam-Gold_Dust,400,2,1/03/2014,5.02,88.96,deciduous,non-native,moderate
Liquidambar_styraciflua,Grazam-Grandmaster,300,1,1/12/2014,4.14,83.93,deciduous,non-native,moderate
Liquidambar_styraciflua,Grazam-Grandmaster,400,1,1/03/2014,5.04,90.16,deciduous,non-native,moderate
Liquidambar_styraciflua,Oakville_Highlight,45,50,1/12/2014,3.3,30.7,deciduous,non-native,moderate
Liquidambar_styraciflua,Oakville_Highlight,300,7,1/05/2014,5.4,108.71,deciduous,non-native,moderate
Liquidambar_styraciflua,Slender_Silhouete,45,40,1/12/2014,2,28.6,deciduous,non-native,moderate
Liquidambar_styraciflua,Slender_Silhouete,400,3,1/03/2014,6.46,89.56,deciduous,non-native,moderate
Liriodendron_tulipifera,Aureomarginatum,45,12,1/03/2014,1.5,20.6,deciduous,non-native,fast
Liriodendron_tulipifera,Tulip_Tree,45,25,1/02/2014,2.7,36.9,deciduous,non-native,fast
Lophosetmon_confertus,,45,ngia2,,2.6,39,evergreen,native,fast
Lophosetmon_confertus,,50,test,,3,30,evergreen,native,fast
Magnolia_kobus,,300,6,1/12/2014,4.4,96.54,deciduous,non-native,slow
Malus_ioensis,Plena,45,15,1/02/2014,2.11,29.54,deciduous,non-native,slow
Malus_ioensis ,Plena,37,test,,1.5,25,deciduous,non-native,slow
Malus_ioensis ,Plena,45,test,,1.7,15,deciduous,non-native,slow
Malus_ioensis ,Plena,45,test,,1.7,22.5,deciduous,non-native,slow
Malus_ioensis ,Plena,45,test,,2.35,34,deciduous,non-native,slow
Malus_ioensis ,Plena,52,test,,1.8,30,deciduous,non-native,slow
Malus_transitoria,JFS-KW5-Royal_Raindrops,45,29,1/05/2014,2.37,25.44,deciduous,non-native,moderate
Malus_transitoria,JFS-KW5-Royal_Raindrops,45,6,1/10/2014,2.66,30.67,deciduous,non-native,moderate
Malus_transitoria,Sutyzam_Sugar_Tyme,45,65,1/01/2014,2.2,24.5,deciduous,non-native,moderate
Malus_transitoria,Sutyzam_Sugar_Tyme,75,2,1/04/2014,2.14,30.84,deciduous,non-native,moderate
Malus_transitoria,Sutyzam_Sugar_Tyme,150,ngia,,2.5,44,deciduous,non-native,moderate
Malus_transitoria,Sutyzam_Sugar_Tyme,150,ngia2,,2.5,46,deciduous,non-native,moderate
Melia_azedarach,Caroline,37,test,,2.2,29,deciduous,native,fast
Melia_azedarach,Caroline,45,72,1/02/2014,2.54,43.57,deciduous,native,fast
Melia_azedarach,Caroline,45,17,1/02/2014,3.3,56.6,deciduous,native,fast
Melia_azedarach,Caroline,45,ngia2,,1.8,38,deciduous,native,fast
Melia_azedarach,Caroline,150,ngia,,3,78,deciduous,native,fast
Melia_azedarach,Caroline,150,ngia2,,3,83,deciduous,native,fast
Melia_azedarach,Fastigiata,45,3,1/02/2014,3.1,48.1,deciduous,native,fast
Melia_azedarach,Lilac_Lady,45,141,1/01/2015,2.04,22.95,deciduous,native,fast
Melia_azedarach,,45,36,1/02/2014,2.84,39.86,deciduous,native,fast
Melia_azedarach,,45,63,1/01/2015,2.61,41.82,deciduous,native,fast
Nyssa_sylvatica,Autumn_Cascades,150,4,1/10/2014,3.09,47.13,deciduous,non-native,slow
Nyssa_sylvatica,NXSXF-Forum,45,90,1/01/2015,2.1,24.49,deciduous,non-native,slow
Nyssa_sylvatica,NXSXF-Forum,45,80,1/02/2014,2.2,22,deciduous,non-native,slow
Nyssa_sylvatica,NXSXF-Forum,45,130,1/01/2015,2.2,20.3,deciduous,non-native,slow
Nyssa_sylvatica,NXSXF-Forum,45,30,1/12/2014,2.1,20.92,deciduous,non-native,slow
Olea_europaea,Swan_Hill,45,4,1/10/2014,2.2,39.6,evergreen,non-native,slow
Olea_europaea,,45,2,1/10/2014,2.4,32.2,evergreen,non-native,slow
Parrotia_persica,,45,7,1/09/2014,2.7,37.8,deciduous,non-native,slow
Parrotia_persica,,150,2,1/12/2014,4.35,82.51,deciduous,non-native,slow
Parrotia_persica,,150,10,1/12/2014,4.17,47.51,deciduous,non-native,slow
Platanus_orinetalis,Digitata,45,test,,3,32,deciduous,non-native,moderate
